student,group,time,dv
1,2,Pre,1
1,2,Post1,1.33
1,2,Post2,3.33
2,3,Pre,0
2,3,Post1,1
2,3,Post2,1
3,1,Pre,0
3,1,Post1,2
3,1,Post2,3
4,3,Pre,0
4,3,Post1,0
4,3,Post2,0
5,3,Pre,0
5,3,Post1,0
5,3,Post2,0
6,1,Pre,0
6,1,Post1,4.5
6,1,Post2,4.5
7,1,Pre,0
7,1,Post1,2
7,1,Post2,0.5
8,1,Pre,1
8,1,Post1,4.17
8,1,Post2,3.2
9,3,Pre,1.1
9,3,Post1,1
9,3,Post2,0.58
10,2,Pre,0
10,2,Post1,0
10,2,Post2,1
11,1,Pre,0
11,1,Post1,4
11,1,Post2,4.92
12,1,Pre,3.13
12,1,Post1,4.17
12,1,Post2,3.33
13,3,Pre,0
13,3,Post1,0.83
13,3,Post2,0.8
14,3,Pre,0
14,3,Post1,0.83
14,3,Post2,2.2
15,1,Pre,0.25
15,1,Post1,2
15,1,Post2,2
16,2,Pre,0
16,2,Post1,0.4
16,2,Post2,1.1
17,3,Pre,0
17,3,Post1,0.2
17,3,Post2,0
18,2,Pre,3
18,2,Post1,3
18,2,Post2,0.33
19,1,Pre,5
19,1,Post1,4.8
19,1,Post2,4.83
20,3,Pre,3.3
20,3,Post1,4
20,3,Post2,1
21,3,Pre,1
21,3,Post1,1
21,3,Post2,1
22,2,Pre,2.67
22,2,Post1,3
22,2,Post2,1
23,3,Pre,1
23,3,Post1,0
23,3,Post2,0
24,1,Pre,3.83
24,1,Post1,4.42
24,1,Post2,4.33
25,1,Pre,1
25,1,Post1,3.75
25,1,Post2,1
26,3,Pre,0
26,3,Post1,0.67
26,3,Post2,0.67
27,1,Pre,4.75
27,1,Post1,2.75
27,1,Post2,4.42
28,1,Pre,1.33
28,1,Post1,4.67
28,1,Post2,3.08
29,2,Pre,0
29,2,Post1,0.75
29,2,Post2,0.83
30,2,Pre,1.5
30,2,Post1,2.42
30,2,Post2,3.83
31,2,Pre,0
31,2,Post1,4.33
31,2,Post2,3.08
32,3,Pre,1.33
32,3,Post1,0
32,3,Post2,0
33,3,Pre,0
33,3,Post1,1.92
33,3,Post2,1
34,1,Pre,3
34,1,Post1,3
34,1,Post2,3.5
35,1,Pre,0.75
35,1,Post1,2.5
35,1,Post2,1
36,3,Pre,1
36,3,Post1,1
36,3,Post2,1
37,2,Pre,1.4
37,2,Post1,2.75
37,2,Post2,2.83
38,3,Pre,1.08
38,3,Post1,1
38,3,Post2,1
39,1,Pre,1.33
39,1,Post1,4.67
39,1,Post2,4.67
40,2,Pre,0
40,2,Post1,3
40,2,Post2,3
41,2,Pre,1
41,2,Post1,2.67
41,2,Post2,3.67
42,2,Pre,0.6
42,2,Post1,2.5
42,2,Post2,1
43,1,Pre,4
43,1,Post1,4
43,1,Post2,3
44,2,Pre,2.9
44,2,Post1,1.92
44,2,Post2,4
45,1,Pre,0
45,1,Post1,4
45,1,Post2,4
46,2,Pre,2
46,2,Post1,1
46,2,Post2,1
47,1,Pre,0
47,1,Post1,1
47,1,Post2,3.7
48,2,Pre,1
48,2,Post1,3
48,2,Post2,2.33
49,2,Pre,0.67
49,2,Post1,4.53
49,2,Post2,2.58
50,2,Pre,0.83
50,2,Post1,3.92
50,2,Post2,0.67
51,1,Pre,2.5
51,1,Post1,4.75
51,1,Post2,2.5
52,1,Pre,2.5
52,1,Post1,2.83
52,1,Post2,4.33
53,2,Pre,2.25
53,2,Post1,4.42
53,2,Post2,1.67
54,3,Pre,0.6
54,3,Post1,2.5
54,3,Post2,0.6
55,1,Pre,0.6
55,1,Post1,2.67
55,1,Post2,2.67
56,3,Pre,4.58
56,3,Post1,3.75
56,3,Post2,3.75
57,2,Pre,1.92
57,2,Post1,1
57,2,Post2,1
58,1,Pre,0
58,1,Post1,1.4
58,1,Post2,0.6
59,1,Pre,3.33
59,1,Post1,5
59,1,Post2,4.25
60,2,Pre,0.8
60,2,Post1,3.33
60,2,Post2,3
61,1,Pre,2
61,1,Post1,3.33
61,1,Post2,0.25
62,3,Pre,0.67
62,3,Post1,3.33
62,3,Post2,3.42
63,3,Pre,4.67
63,3,Post1,4.9
63,3,Post2,4.42
64,1,Pre,1
64,1,Post1,1.33
64,1,Post2,4.58
65,3,Pre,1
65,3,Post1,1
65,3,Post2,4.5
66,3,Pre,1
66,3,Post1,1
66,3,Post2,1
67,2,Pre,3.33
67,2,Post1,4.92
67,2,Post2,5
68,1,Pre,0.5
68,1,Post1,2.5
68,1,Post2,3.5
