elpa,domain,elaprog,optionalprog
1,read,ELD Class Period,ELD Class Period
1,write,ELD Class Period,ELD Class Period
1,speak,ELD Class Period,ELD Class Period
2,listen,ELD Class Period,ELD Class Period
1,read,ELD Push-In,No Additional Program Model
2,write,ELD Push-In,No Additional Program Model
2,speak,ELD Push-In,No Additional Program Model
2,listen,ELD Push-In,No Additional Program Model
3,read,ELD Push-In,No Additional Program Model
2,write,ELD Push-In,No Additional Program Model
3,speak,ELD Push-In,No Additional Program Model
3,listen,ELD Push-In,No Additional Program Model
2,read,ELD Push-In,No Additional Program Model
1,write,ELD Push-In,No Additional Program Model
2,speak,ELD Push-In,No Additional Program Model
2,listen,ELD Push-In,No Additional Program Model
4,read,ELD Push-In,No Additional Program Model
2,write,ELD Push-In,No Additional Program Model
4,speak,ELD Push-In,No Additional Program Model
3,listen,ELD Push-In,No Additional Program Model
1,read,ELD Push-In,No Additional Program Model
1,write,ELD Push-In,No Additional Program Model
2,speak,ELD Push-In,No Additional Program Model
3,listen,ELD Push-In,No Additional Program Model
2,read,ELD Push-In,No Additional Program Model
3,write,ELD Push-In,No Additional Program Model
2,speak,ELD Push-In,No Additional Program Model
3,listen,ELD Push-In,No Additional Program Model
3,read,ELD Push-In,No Additional Program Model
1,write,ELD Push-In,No Additional Program Model
1,speak,ELD Push-In,No Additional Program Model
3,listen,ELD Push-In,No Additional Program Model
1,read,ELD Push-In,No Additional Program Model
1,write,ELD Push-In,No Additional Program Model
1,speak,ELD Push-In,No Additional Program Model
1,listen,ELD Push-In,No Additional Program Model
1,read,ELD Push-In,Newcomer Program - ELD
1,write,ELD Push-In,Newcomer Program - ELD
1,speak,ELD Push-In,Newcomer Program - ELD
1,listen,ELD Push-In,Newcomer Program - ELD
4,read,ELD Push-In,No Additional Program Model
3,write,ELD Push-In,No Additional Program Model
2,speak,ELD Push-In,No Additional Program Model
5,listen,ELD Push-In,No Additional Program Model
1,read,ELD Class Period,No Additional Program Model
1,write,ELD Class Period,No Additional Program Model
1,speak,ELD Class Period,No Additional Program Model
1,listen,ELD Class Period,No Additional Program Model
3,read,ELD Class Period,No Additional Program Model
3,write,ELD Class Period,No Additional Program Model
3,speak,ELD Class Period,No Additional Program Model
4,listen,ELD Class Period,No Additional Program Model
1,read,ELD Pull-out,No Additional Program Model
1,write,ELD Pull-out,No Additional Program Model
1,speak,ELD Pull-out,No Additional Program Model
1,listen,ELD Pull-out,No Additional Program Model
3,read,ELD Push-In,No Additional Program Model
2,write,ELD Push-In,No Additional Program Model
3,speak,ELD Push-In,No Additional Program Model
3,listen,ELD Push-In,No Additional Program Model
1,read,ELD Push-In,No Additional Program Model
1,write,ELD Push-In,No Additional Program Model
1,speak,ELD Push-In,No Additional Program Model
1,listen,ELD Push-In,No Additional Program Model
2,read,ELD Push-In,No Additional Program Model
2,write,ELD Push-In,No Additional Program Model
1,speak,ELD Push-In,No Additional Program Model
2,listen,ELD Push-In,No Additional Program Model
2,read,ELD Push-In,No Additional Program Model
2,write,ELD Push-In,No Additional Program Model
2,speak,ELD Push-In,No Additional Program Model
1,listen,ELD Push-In,No Additional Program Model
3,read,ELD Push-In,No Additional Program Model
2,write,ELD Push-In,No Additional Program Model
2,speak,ELD Push-In,No Additional Program Model
3,listen,ELD Push-In,No Additional Program Model
3,read,ELD Push-In,No Additional Program Model
2,write,ELD Push-In,No Additional Program Model
4,speak,ELD Push-In,No Additional Program Model
3,listen,ELD Push-In,No Additional Program Model
3,read,ELD Push-In,No Additional Program Model
2,write,ELD Push-In,No Additional Program Model
3,speak,ELD Push-In,No Additional Program Model
3,listen,ELD Push-In,No Additional Program Model
2,read,ELD Push-In,No Additional Program Model
1,write,ELD Push-In,No Additional Program Model
3,speak,ELD Push-In,No Additional Program Model
1,listen,ELD Push-In,No Additional Program Model
1,read,ELD Push-In,No Additional Program Model
1,write,ELD Push-In,No Additional Program Model
1,speak,ELD Push-In,No Additional Program Model
1,listen,ELD Push-In,No Additional Program Model
1,read,ELD Push-In,No Additional Program Model
1,write,ELD Push-In,No Additional Program Model
1,speak,ELD Push-In,No Additional Program Model
1,listen,ELD Push-In,No Additional Program Model
3,read,ELD Push-In,No Additional Program Model
2,write,ELD Push-In,No Additional Program Model
3,speak,ELD Push-In,No Additional Program Model
3,listen,ELD Push-In,No Additional Program Model
1,read,ELD Push-In,No Additional Program Model
1,write,ELD Push-In,No Additional Program Model
3,speak,ELD Push-In,No Additional Program Model
1,listen,ELD Push-In,No Additional Program Model
3,read,ELD Push-In,No Additional Program Model
1,write,ELD Push-In,No Additional Program Model
1,speak,ELD Push-In,No Additional Program Model
3,listen,ELD Push-In,No Additional Program Model
2,read,ELD Push-In,No Additional Program Model
2,write,ELD Push-In,No Additional Program Model
2,speak,ELD Push-In,No Additional Program Model
2,listen,ELD Push-In,No Additional Program Model
2,read,ELD Push-In,No Additional Program Model
1,write,ELD Push-In,No Additional Program Model
1,speak,ELD Push-In,No Additional Program Model
2,listen,ELD Push-In,No Additional Program Model
1,read,ELD Push-In,No Additional Program Model
1,write,ELD Push-In,No Additional Program Model
1,speak,ELD Push-In,No Additional Program Model
1,listen,ELD Push-In,No Additional Program Model
1,read,ELD Push-In,No Additional Program Model
1,write,ELD Push-In,No Additional Program Model
2,speak,ELD Push-In,No Additional Program Model
2,listen,ELD Push-In,No Additional Program Model
1,read,ELD Push-In,No Additional Program Model
1,write,ELD Push-In,No Additional Program Model
1,speak,ELD Push-In,No Additional Program Model
1,listen,ELD Push-In,No Additional Program Model
1,read,ELD Push-In,No Additional Program Model
1,write,ELD Push-In,No Additional Program Model
1,speak,ELD Push-In,No Additional Program Model
3,listen,ELD Push-In,No Additional Program Model
1,read,ELD Push-In,No Additional Program Model
1,write,ELD Push-In,No Additional Program Model
1,speak,ELD Push-In,No Additional Program Model
1,listen,ELD Push-In,No Additional Program Model
3,read,ELD Push-In,No Additional Program Model
2,write,ELD Push-In,No Additional Program Model
4,speak,ELD Push-In,No Additional Program Model
3,listen,ELD Push-In,No Additional Program Model
1,read,ELD Push-In,No Additional Program Model
1,write,ELD Push-In,No Additional Program Model
1,speak,ELD Push-In,No Additional Program Model
1,listen,ELD Push-In,No Additional Program Model
1,read,ELD Push-In,No Additional Program Model
1,write,ELD Push-In,No Additional Program Model
1,speak,ELD Push-In,No Additional Program Model
1,listen,ELD Push-In,No Additional Program Model
3,read,ELD Push-In,No Additional Program Model
1,write,ELD Push-In,No Additional Program Model
3,speak,ELD Push-In,No Additional Program Model
3,listen,ELD Push-In,No Additional Program Model
3,read,ELD Push-In,No Additional Program Model
4,write,ELD Push-In,No Additional Program Model
4,speak,ELD Push-In,No Additional Program Model
5,listen,ELD Push-In,No Additional Program Model
1,read,ELD Push-In,No Additional Program Model
