study,year,esID,yi,vi,group,time,mT,sdT,nT,mC,sdC,nC,formula,outcome,cont.type,last_treat_2_test_time,treatments,cf.timely,ssci,setting,ed.level,Age,profic,motivation,Ss.aware,random.grp,equiv.grp,rel.inter,rel.intra,genre,sourced,timed,Location,Length,instruction,graded,acc.measure,cf.training,error.type,cf.scope,cf.type,error.key,cf.provider,cf.revision,cf.oral,n_outcome,sign_.
Al-Ahmad & Al-Jarrah,2015,1,1.68074562561521,0.208171266500474,1,0,60.348,21.54,13,28.899,13.88,13,pcorrect,1,1,1,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,0,88,0,0,0,1,FALSE
Al-Ahmad & Al-Jarrah,2015,2,4.12205671407215,0.480602914500526,2,0,82.924,11.38,13,28.899,13.88,13,pcorrect,1,1,1,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,8,88,0,0,1,1,FALSE
Al-Ahmad & Al-Jarrah,2015,3,2.60044330791934,0.283890488417355,1,1,74.312,11.36,13,32.521,18.85,13,pcorrect,1,1,1,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,0,88,0,0,0,1,FALSE
Al-Ahmad & Al-Jarrah,2015,4,3.45719391014061,0.383695956390641,2,1,88.662,11.8,13,32.521,18.85,13,pcorrect,1,1,1,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,8,88,0,0,1,1,FALSE
Al-Ahmad & Al-Jarrah,2015,5,1.54629293606363,0.199827343156159,1,2,68.874,14.98,13,39.895,20.84,13,pcorrect,1,1,4,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,0,88,0,0,0,1,FALSE
Al-Ahmad & Al-Jarrah,2015,6,3.07152281904902,0.33527408515267,2,2,90.29,8.4,13,39.895,20.84,13,pcorrect,1,1,4,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,8,88,0,0,1,1,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Al Ajmi,2015,7,0.21953723383568,0.0804819659704022,1,0,1.68,1.069,25,1.44,1.083,25,ncorrect,1,1,1,2,0,0,2,2,2,1,99,99,0,1,1,0,6,0,99,99,0,99,99,4,99,2,2,8,88,0,99,1,1,FALSE
Al Ajmi,2015,8,3.5450271783219,0.205672176950409,1,1,7.4,2.217,25,1.08,1.115,25,ncorrect,1,1,1,2,0,0,2,2,2,1,99,99,0,1,1,0,6,0,99,99,0,99,99,4,99,2,2,8,88,0,99,1,1,FALSE
Al Ajmi,2015,9,4.45442672487846,0.278419174473114,1,2,8.08,1.754,25,1.48,1.085,25,ncorrect,1,1,2,2,0,0,2,2,2,1,99,99,0,1,1,0,6,0,99,99,0,99,99,4,99,2,2,8,88,0,99,1,1,FALSE
